Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
AMNH F:AM 71369,Equinae,Equini,Pliohippus,sp.,P3,Flint Creek Beds,,Montana,Great Plains,Miocene,Barstovian,4.372,22.146,10.591
AMNH F:AM 71377,Equinae,Equini,Pliohippus,sp.,P3,,,Nevada,Great Basin,Miocene,Hemphillian,3.36,14.878,8.117
AMNH F:AM 71405,Equinae,Equini,Equus,sp.,P3,Gold Hill,,Alaska,Polar,Pleistocene,Irv/Rancho,6.374,25.384,10.054
AMNH F:AM 71463 ,Equinae,Equini,Equus,sp.,P3,Dome Creek,,Alaska,Polar,Pleistocene,Irv/Rancho,5.265,23.796,10.371
AMNH F:AM 71502,Anchitheriinae,"""Anchitheriini""",Desmatippus,integer,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,3.735,15.75,8.150
AMNH F:AM 71508,Anchitheriinae,"""Anchitheriini""",Desmatippus,sp.,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,1.854,12.793,9.395
AMNH F:AM 71592,Anchitheriinae,"""Anchitheriini""",Desmatippus,sp.,P3,Pawnee Creek,,Colorado,Great Plains,Miocene,Barstovian,1.0094,9.528,9.484
AMNH F:AM 71887,Equinae,Hipparionini,Hipparion,forcei,P3,Snake Creek,,Nebraska,Great Plains,Miocene,Clarendonian,4.636,25.012,11.617
AMNH F:AM 71891,Equinae,Hipparionini,"""Cormohipparion""",quinni,P3,,,,,,,4.587,19.43,9.072
AMNH F:AM 73940,Equinae,Hipparionini,Cormohipparion ,goorisi,P3,,,Texas,Great Plains,,,3.8,20.291,10.409
AMNH F:AM 73950,Equinae,Hipparionini,Hipparion,shirleyi,P3,,,,,,,2.482,18.552,11.776
AMNH F:AM 73951,Equinae,Hipparionini,Hipparion,shirleyi,P3,San Jacinto,,Texas,Great Plains,Miocene,Barstovian,2.192,15.083,10.187
AMNH F:AM 74230,Equinae,Equini,Astrohippus,ansae,P3,Chamita,,New Mexico,Great Basin,Miocene,Hemphillian,5.624,21.297,8.980
AMNH F:AM 74273,Equinae,Equini,Astrohippus,stockii,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,3.866,16.185,8.232
AMNH F:AM 74274,Equinae,Equini,Astrohippus,stockii,P3,Ogallala,,Texas,Great Plains,Miocene,Hemphillian,2.778,13.342,8.005
AMNH F:AM 74404,Equinae,Hipparionini,Nannippus,lenticulare,P3,,,Texas,Great Plains,Miocene,Clarendonian,3.271,15.811,8.742
AMNH F:AM 74416,Equinae,Hipparionini,Nannippus,lenticulare,P3,,,Texas,Great Plains,Miocene,Clarendonian,3.662,18.575,9.707
AMNH F:AM 8105,Equinae,"""Merychippini""",Merychippus,sp.,P3,Deep River,,Montana,Great Plains,Miocene,Barstovian,4.238,18.49,8.982
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,P2,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,6.086,17.473,7.083
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,P3,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,5.362,19.288,8.330
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,P4,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,4.917,18.999,8.568
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,M1,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,4.341,17.902,8.592
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,M2,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,4.231,18.117,8.808
AMNH F:AM 87201,Equinae,Equini,Dinohippus ,leidyanus,M3,Ogallala,,Kansas,Great Plains,Miocene,Hemphillian,4.094,16.32,8.066
AMNH F:AM 87301,Equinae,Equini,Scaphohippus,intermontanus,P3,Olcott,,Nebraska,Great Plains,Miocene,Barstovian,3.458,17.272,9.288
AMNH F:AM 87429,Equinae,Equini,Equus,simplicidens ,P3,Keim,,Nebraska,Great Plains,Pliocene,Blancan,7.375,25.25,9.298
AMNH F:AM 92470,Equinae,Equini,Equus,fraternus,P4,,,Florida,Gulf Coast,Pleistocene,Irv/Rancho,4.43,18.242,8.667
AMNH F:AM 95588,Equinae,Equini,Equus,fraternus,P3,Pool Creek,,Florida,Gulf Coast,Pleistocene,Irv/Rancho,6.038,30.289,12.326
