Specimen,Subfamily,Tribe,Genus,Species,Element,Formation,Member,State,Region,Epoch,NALMA,TrueArea(cm2),EnamelLength(cm),OEI
UCMP 32814,Equinae,Equini,Calippus,martini,M1,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,3.811,11.695,5.991
UCMP 32814,Equinae,Equini,Calippus,martini,M2,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,3.588,12.259,6.472
UCMP 32814,Equinae,Equini,Calippus,martini,M3,Laverne,,Oklahoma,Great Plains,Miocene,Clarendonian,2.163,7.74,5.263
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,P2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,5.213,16.8,7.358
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,P3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,5.462,17.666,7.559
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,P4,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,5.294,18.05,7.845
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,M1,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,4.902,17.982,8.122
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,M2,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,4.887,17.945,8.117
UCMP 33481,Equinae,Equini,Pliohippus ,sp.,M3,Ogallala,,Texas,Great Plains,Miocene,Clarendonian,3.973,16.327,8.191
UCMP 34032,Equinae,Equini,Equus ,simplicedens,P2,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.035,25.654,9.050
UCMP 34032,Equinae,Equini,Equus ,simplicedens,P3,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,9.273,29.776,9.778
UCMP 34032,Equinae,Equini,Equus ,simplicedens,P4,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,7.787,27.985,10.029
UCMP 34032,Equinae,Equini,Equus ,simplicedens,M1,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.075,26.64,9.375
UCMP 34032,Equinae,Equini,Equus ,simplicedens,M2,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,7.912,28.047,9.971
UCMP 34032,Equinae,Equini,Equus ,simplicedens,M3,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,4.446,14.428,6.843
UCMP 34511,Equinae,Hipparionini,Hipparion,sp.,P3,Green Valley,,California,California,Miocene,Clarendonian,4.633,18.518,8.603
UCMP 34511,Equinae,Hipparionini,Hipparion,sp.,P4,Green Valley,,California,California,Miocene,Clarendonian,4.411,18.855,8.978
UCMP 34511,Equinae,Hipparionini,Hipparion,sp.,M1,Green Valley,,California,California,Miocene,Clarendonian,3.629,16.265,8.538
UCMP 34511,Equinae,Hipparionini,Hipparion,sp.,M2,Green Valley,,California,California,Miocene,Clarendonian,4.251,18.28,8.866
UCMP 34511,Equinae,Hipparionini,Hipparion,sp.,M3,Green Valley,,California,California,Miocene,Clarendonian,4.14,18.693,9.187
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,P2,Caliente,,California,California,Miocene,Barstovian,3.456,15.398,8.283
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,P3,Caliente,,California,California,Miocene,Barstovian,3.816,16.727,8.563
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,P4,Caliente,,California,California,Miocene,Barstovian,3.832,16.766,8.565
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,M1,Caliente,,California,California,Miocene,Barstovian,3.549,16.497,8.757
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,M2,Caliente,,California,California,Miocene,Barstovian,3.685,16.929,8.819
UCMP 50750,Equinae,Equini,Scaphohippus ,sumani ,M3,Caliente,,California,California,Miocene,Barstovian,2.77,14.313,8.600
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,P2,Caliente,,California,California,Miocene,Barstovian,3.148,13.598,7.664
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,P3,Caliente,,California,California,Miocene,Barstovian,3.795,14.066,7.220
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,P4,Caliente,,California,California,Miocene,Barstovian,3.904,16.113,8.155
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,M1,Caliente,,California,California,Miocene,Barstovian,3.751,15.973,8.247
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,M2,Caliente,,California,California,Miocene,Barstovian,3.796,17.389,8.925
UCMP 50950,Equinae,Equini,Scaphohippus ,sumani ,M3,Caliente,,California,California,Miocene,Barstovian,3.271,13.834,7.649
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,P2,Caliente,,California,California,Miocene,Barstovian,3.536,15.716,8.358
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,P3,Caliente,,California,California,Miocene,Barstovian,4.195,17.132,8.365
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,P4,Caliente,,California,California,Miocene,Barstovian,3.74,17.186,8.887
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,M1,Caliente,,California,California,Miocene,Barstovian,3.757,17.542,9.050
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,M2,Caliente,,California,California,Miocene,Barstovian,3.657,17.112,8.948
UCMP 51000,Equinae,Equini,Scaphohippus ,sumani ,M3,Caliente,,California,California,Miocene,Barstovian,2.35,12.234,7.981
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,P2,Green Valley,,California,California ,Miocene,Clarendonian,4.51,15.379,7.242
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,P3,Green Valley,,California,California ,Miocene,Clarendonian,5.391,17.642,7.598
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,P4,Green Valley,,California,California ,Miocene,Clarendonian,5.569,18.753,7.947
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,M1,Green Valley,,California,California ,Miocene,Clarendonian,5.691,19.436,8.147
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,M2,Green Valley,,California,California ,Miocene,Clarendonian,6.044,20.692,8.417
UCMP 56278,Equinae,Equini,Pliohippus ,sp.,M3,Green Valley,,California,California ,Miocene,Clarendonian,5.754,22.146,9.232
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,P2,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,3.335,17.131,9.381
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,P3,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,3.728,19.838,10.274
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,P4,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,3.633,18.174,9.535
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,M1,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,3.155,18.025,10.148
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,M2,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,3.024,16.323,9.387
UCMP 64609,Equinae,Hipparionini,Neohipparion ,floresi,M3,,,Chihuahua,Gulf Coast,Miocene,Hemphillian,2.365,15.862,10.314
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,P2,Ricardo,,California,Great Basin,Miocene,Clarendonian,2.627,14.236,8.783
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,P3,Ricardo,,California,Great Basin,Miocene,Clarendonian,3.272,19.468,10.763
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,P4,Ricardo,,California,Great Basin,Miocene,Clarendonian,3.362,19.839,10.820
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,M1,Ricardo,,California,Great Basin,Miocene,Clarendonian,2.872,17.222,10.162
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,M2,Ricardo,,California,Great Basin,Miocene,Clarendonian,2.871,17.385,10.260
UCMP 69575,Equinae,Hipparionini,Hipparion,forcei,M3,Ricardo,,California,Great Basin,Miocene,Clarendonian,2.056,12.905,9.000
UCMP 97903,Equinae,Equini,Protohippus ,perditus,P2,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,3.805,13.47,6.905
UCMP 97903,Equinae,Equini,Protohippus ,perditus,P3,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,4.114,16.076,7.926
UCMP 97903,Equinae,Equini,Protohippus ,perditus,P4,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,3.993,16.789,8.402
UCMP 97903,Equinae,Equini,Protohippus ,perditus,M1,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,3.436,15.435,8.327
UCMP 97903,Equinae,Equini,Protohippus ,perditus,M2,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,3.526,16.554,8.816
UCMP 97903,Equinae,Equini,Protohippus ,perditus,M3,Valentine,Devil's Gulch,Nebraska,Great Plains,Miocene,Barstovian,2.622,14.406,8.897
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,P2,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,2.83,18.072,10.743
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,P3,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,3.169,18.239,10.246
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,P4,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,3.03,20.911,12.013
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,M1,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,2.657,18.581,11.399
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,M2,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,2.578,16.927,10.542
UF 32300,Equinae,Hipparionini,Cormohipparion ,sp.,M3,Love Bone Bed,,Florida,Gulf Coast,Miocene,Clarendonian,2.086,15.56,10.773
UF 57343,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Bone Valley,,Florida,Gulf Coast,Miocene,Hemphillian,0.709,5.472,6.499
UF 57343,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Bone Valley,,Florida,Gulf Coast,Miocene,Hemphillian,0.627,5.207,6.576
UF 57343,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Bone Valley,,Florida,Gulf Coast,Miocene,Hemphillian,0.539,4.804,6.543
UF 57343,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Bone Valley,,Florida,Gulf Coast,Miocene,Hemphillian,0.608,4.925,6.316
UF 58311,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Ft Green Mine,,Florida,Gulf Coast,Miocene,Hemphillian,1.376,11.884,10.131
UF 58311,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Ft Green Mine,,Florida,Gulf Coast,Miocene,Hemphillian,1.23,11.149,10.053
UF 58311,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Ft Green Mine,,Florida,Gulf Coast,Miocene,Hemphillian,1.07,10.257,9.916
UF 58311,Equinae,Hipparionini,Pseudhipparion ,simpsoni,P4,Ft Green Mine,,Florida,Gulf Coast,Miocene,Hemphillian,1.035,9.762,9.596
UNSM 113025,Equinae,Equini,Equus,calobutus,M3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.253,24.634,10.748
UNSM 113026,Equinae,Equini,Equus,calobutus,P4,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,7.149,32.2208,12.051
UNSM 113091,Equinae,Equini,Equus,calobutus,M1,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.778,28.878,11.092
UNSM 118794,Equinae,Equini,Equus,calobutus,P2,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,8.817,30.627,10.314
UNSM 118794,Equinae,Equini,Equus,calobutus,P3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,9.832,33.214,10.593
UNSM 118794,Equinae,Equini,Equus,calobutus,P4,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,10.343,30.605,9.516
UNSM 118794,Equinae,Equini,Equus,calobutus,M1,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,7.646,27.591,9.978
UNSM 118794,Equinae,Equini,Equus,calobutus,M2,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,7.857,26.89,9.593
UNSM 123506,Equinae,Equini,Equus,sp.,,Loess,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,4.857,22.864,10.375
UNSM 123506,Equinae,Equini,Equus,sp.,,Loess,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.159,23.19,10.210
UNSM 123506,Equinae,Equini,Equus,sp.,,Loess,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,4.225,20.43,9.939
UNSM 123613,Equinae,Equini,Equus,sp.,,cave,,New Mexico,Great Basin,Pleistocene,Irv/Rancho,4.652,21.366,9.906
UNSM 123657,Equinae,Equini,Equus,spp.,M3,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,5.215,26.164,11.457
UNSM 123658,Equinae,Equini,Equus,spp.,,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,5.533,31.701,13.477
UNSM 125528,Equinae,Equini,Protohippus ,perditus,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,2.387,15.074,9.757
UNSM 125529,Equinae,Equini,Protohippus ,perditus,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,3.322,15.088,8.278
UNSM 125530,Equinae,Hipparionini,Neohipparion,republicanus,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,3.388,19.773,10.742
UNSM 125531,Equinae,Hipparionini,Pseudhipparion ,sp.,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,3.495,16.593,8.876
UNSM 125532,Anchitheriinae,"""Anchitheriini""",Hypohippus,sp.,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,5.719,15.084,6.307
UNSM 125533,Equinae,Hipparionini,Neohipparion,republicanus,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,3.88,21.256,10.791
UNSM 125534,Equinae,Equini,Calippus,placidus,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,2.126,13.499,9.258
UNSM 129108,Equinae,Equini,Equus,scotti,,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.769,27.855,11.597
UNSM 133050,Equinae,Equini,Equus,sp.,,cave,,New Mexico,Great Basin,Pleistocene,Irv/Rancho,4.779,19.32,8.838
UNSM 133051,Equinae,Equini,Equus,sp.,,cave,,New Mexico,Great Basin,Pleistocene,Irv/Rancho,5.321,23.11,10.019
UNSM 133052,Equinae,Equini,Equus,spp.,,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,5.614,28.597,12.069
UNSM 133053,Equinae,Equini,Equus,complicatus,M3,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,7.211,31.546,11.748
UNSM 133054,Equinae,Equini,Equus,spp.,,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,6.462,32.273,12.696
UNSM 133055,Equinae,Equini,Equus,spp.,,,,Kentucky,Eastern US,Pleistocene,Irv/Rancho,6.65,30.48,11.820
UNSM 133056,Equinae,Equini,Equus,scotti,,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.469,26.247,11.223
UNSM 133057,Equinae,Equini,Equus,scotti,,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.044,26.549,10.799
UNSM 133058,Equinae,Equini,Equus,sp.,,High Terrace,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,4.927,24.395,10.990
UNSM 133059,Equinae,Equini,Equus,excelsus,P2,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.027,27.261,11.104
UNSM 133059,Equinae,Equini,Equus,excelsus,P3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.491,26.605,11.354
UNSM 133059,Equinae,Equini,Equus,excelsus,P4,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.889,28.128,11.591
UNSM 133060,Equinae,Equini,Equus,idahoensis,M2,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,6.399,28.45,11.247
UNSM 133061,Equinae,Equini,Equus,idahoensis,P3,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,7.212,26.901,10.017
UNSM 133061,Equinae,Equini,Equus,idahoensis,P4,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,6.897,26.204,9.978
UNSM 133061,Equinae,Equini,Equus,idahoensis,M1,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,5.787,22.399,9.311
UNSM 133061,Equinae,Equini,Equus,idahoensis,M2,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,5.645,25.108,10.568
UNSM 133061,Equinae,Equini,Equus,idahoensis,M3,Long Pine,,Nebraska,Great Plains,Pliocene,Blancan,4.17,19.709,9.652
UNSM 133063,Equinae,Equini,Equus,simplicidens ,P2,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,10.43,28.693,8.885
UNSM 133063,Equinae,Equini,Equus,simplicidens ,P3,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,11.529,32.158,9.471
UNSM 133063,Equinae,Equini,Equus,simplicidens ,P4,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,9.804,31.031,9.910
UNSM 133063,Equinae,Equini,Equus,simplicidens ,M1,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,7.411,24.451,8.982
UNSM 133063,Equinae,Equini,Equus,simplicidens ,M2,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,8.276,26.452,9.195
UNSM 133063,Equinae,Equini,Equus,simplicidens ,M3,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,6.113,23.021,9.311
UNSM 1349,Equinae,Equini,Equus,scotti,P2,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.601,22.292,8.676
UNSM 1349,Equinae,Equini,Equus,scotti,P3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.298,24.724,9.852
UNSM 1349,Equinae,Equini,Equus,scotti,P4,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.236,26.128,10.463
UNSM 1349,Equinae,Equini,Equus,scotti,M1,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.803,22.956,9.529
UNSM 1349,Equinae,Equini,Equus,scotti,M2,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,5.788,23.472,9.756
UNSM 1349,Equinae,Equini,Equus,scotti,M3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,4.921,23.081,10.405
UNSM 1350,Equinae,Equini,Equus,simplicidens ,P2,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.757,25.928,8.762
UNSM 1350,Equinae,Equini,Equus,simplicidens ,P3,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,9.131,27.5,9.101
UNSM 1350,Equinae,Equini,Equus,simplicidens ,P4,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.907,28.051,9.399
UNSM 1350,Equinae,Equini,Equus,simplicidens ,M1,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.368,23.431,8.100
UNSM 1350,Equinae,Equini,Equus,simplicidens ,M2,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,9.177,28.251,9.326
UNSM 1350,Equinae,Equini,Equus,simplicidens ,M3,Glenns Ferry,,Idaho,Columbia Plateau,Pliocene,Blancan,8.515,29.09,9.969
UNSM 1352,Equinae,Hipparionini,Pseudhipparion ,sp.,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,3.65,17.947,9.394
UNSM 238941,Equinae,Hipparionini,Neohipparion,affine,P3,Ash Hollow,,Nebraska,Great Plains,Miocene,Clarendonian,3.835,21.407,10.931
UNSM 2626,Equinae,Hipparionini,Neohipparion,leptode,,Ash Hollow,,Nebraska,Great Plains,Miocene,Hemphillian,4.229,23.703,11.526
UNSM 2634,Equinae,Equini,Protohippus ,sp.,P3,Ash Hollow,,Nebraska,Great Plains,Miocene,Hemphillian,3.382,16.582,9.017
UNSM 2672,Equinae,Hipparionini,Neohipparion,sp.,P3,Valentine,,Nebraska,Great Plains,Miocene,Barstovian,4.58,21.52,10.056
UNSM 27799,Equinae,Equini,Calippus,sp.,P3,Ash Hollow,,Nebraska,Great Plains,Miocene,Hemphillian,3.603,16.143,8.505
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,1.924,11.724,8.452
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.335,14.066,9.205
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.44,14.217,9.102
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.104,12.687,8.747
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.289,14.046,9.284
UNSM 27845,Equinae,Hipparionini,Pseudhipparion ,gratum,M3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.173,13.864,9.405
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.846,17.352,8.848
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.338,21.65,10.395
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.203,21.84,10.653
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.923,18.596,9.389
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.829,18.925,9.671
UNSM 27860,Equinae,Hipparionini,Cormohipparion ,occidentale,M3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.394,13.567,8.768
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.459,16.751,9.007
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.585,18.189,9.606
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.913,19.402,9.808
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.462,18.251,9.809
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.505,18.281,9.765
UNSM 27861,Equinae,Hipparionini,Cormohipparion ,occidentale,M3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.076,17.456,9.953
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.865,15.14,7.701
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.55,17.845,8.366
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.805,19.686,8.981
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.552,18.391,8.620
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.296,18.272,8.816
UNSM 27864,Equinae,Equini,Pliohippus ,pernix,M3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.568,13.973,8.720
UNSM 27865,Equinae,Equini,Pliohippus,pernix,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.342,16.805,9.193
UNSM 27865,Equinae,Equini,Pliohippus,pernix,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.897,18.678,9.462
UNSM 27865,Equinae,Equini,Pliohippus,pernix,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,4.321,18.647,8.971
UNSM 27865,Equinae,Equini,Pliohippus,pernix,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.372,16.576,9.027
UNSM 27865,Equinae,Equini,Pliohippus,pernix,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,3.457,16.279,8.755
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,P2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,1.665,9.971,7.727
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,P3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,1.868,10.853,7.941
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,P4,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.049,11.074,7.736
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,M1,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,1.921,11.269,8.131
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,M2,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,1.878,11.44,8.348
UNSM 27875,Equinae,Hipparionini,Pseudhipparion ,gratum,M3,Ash Hollow,Cap Rock,Nebraska,Great Plains,Miocene,Clarendonian,2.035,13.396,9.391
UNSM 2997,Equinae,Hipparionini,Neohipparion,sp.,P3,Ash Hollow,,Nebraska,Great Plains,Miocene,Hemphillian,3.003,18.998,10.963
UNSM 33162,Equinae,Equini,Equus,sp.,,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.185,30.42,12.232
UNSM 33508,Equinae,Equini,Equus,excelsus,P3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,6.591,29.448,11.470
UNSM 33508,Equinae,Equini,Equus,excelsus,P4,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,7.375,28.127,10.357
UNSM 33527,Equinae,Equini,Equus,excelsus,M3,,,Nebraska,Great Plains,Pleistocene,Irv/Rancho,3.355,18.463,10.080
UNSM 41996,Equinae,Equini,Equus,simplicidens ,P3,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,6.777,23.541,9.043
UNSM 41996,Equinae,Equini,Equus,simplicidens ,P4,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,6.576,23.781,9.274
UNSM 41996,Equinae,Equini,Equus,simplicidens ,M1,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,5.628,20.014,8.436
UNSM 41996,Equinae,Equini,Equus,simplicidens ,M2,Broadwater,,Nebraska,Great Plains,Pliocene,Blancan,5.871,21.822,9.006
