species,common_name,trial_number,larval_stage,days_post_hatch,degree_days_age,acclimation_temp_C,larval_id,warming_rate_C,body_length_mm,CTmax_C
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT302,1,16.2253929,23
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT303,1,18.56526771,23.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT304,1,17.9232479,23.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT305,1,16.90121212,23.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT307,1,16.09874716,24.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT308,1,16.12558719,24.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT290,1,NA,NA
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT281,2,14.80425971,20
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT282,2,17.96922479,21
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT283,2,17.13792765,21
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT284,2,17.64063715,22.9
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT285,2,15.59188128,23
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT286,2,16.33836486,23.8
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT287,2,17.12132253,24
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT288,2,18.34501438,24.3
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT289,2,16.52942142,25
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT291,4,16.73675934,22
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT292,4,13.66292843,22.3
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT293,4,17.45799836,23.8
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT295,4,15.35587744,24.2
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT294,4,20.01230465,24.3
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT297,4,15.50462931,24.4
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT296,4,17.80362572,24.5
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT298,4,14.08390738,24.7
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT299,4,13.10333627,26
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT314,8,16.02033333,25
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT315,8,16.76533333,25
Clupea harengus,Herring,4,Feeding larva,55,402,7,CT316,8,18.86566667,25
